연도,분기,월,지하철역,호선명,00-06시,06-11시,11-14시,14-17시,17-21시,21-24시,위도,경도
2020,1,2,압구정로데오,분당선,3317,252943,117544,140157,313623,75166,37.527381,127.040534
2020,1,2,한티,분당선,3195,201158,112479,113298,225249,79138,37.496237,127.052873
2020,1,3,강남,2호선,39488,1061561,459152,566449,1209795,447111,37.4974135,127.028008
2020,1,3,삼성(무역센터),2호선,16269,728679,202387,263677,691120,149425,37.508844,127.06316
2020,1,3,선릉,2호선,18316,749430,243748,334871,721523,178110,37.504571,127.048505
2020,1,3,역삼,2호선,17215,809567,218689,282017,682271,156950,37.500622,127.036456
2020,1,3,대청,3호선,6454,125177,41008,52756,114247,34393,37.493514,127.079532
2020,1,3,대치,3호선,4403,126779,51709,60817,116566,42371,37.494612,127.063642
2020,1,3,도곡,3호선,2438,73005,23477,28582,61325,15341,37.491073,127.055319
2020,1,3,매봉,3호선,3057,174078,42777,53871,154356,34987,37.486947,127.046769
2020,1,3,수서,3호선,8779,206407,77744,90210,197241,53273,37.487425,127.1016645
2020,1,3,신사,3호선,8946,382298,160117,209279,449945,136336,37.516334,127.020114
2020,1,3,압구정,3호선,7840,436210,170127,202719,433530,93641,37.527072,127.028461
2020,1,3,일원,3호선,4195,123931,51444,55581,88834,22376,37.483681,127.08439
2020,1,3,학여울,3호선,941,23980,7395,9954,20184,5434,37.496663,127.070594
2020,1,3,강남구청,7호선,6072,271144,72199,86188,224873,65312,37.517324,127.041203
2020,1,3,논현,7호선,8654,332524,88581,111421,300960,91466,37.511093,127.021415
2020,1,3,청담,7호선,9248,361427,77674,103789,275123,62237,37.519365,127.05335
2020,1,3,학동,7호선,6580,434434,81057,106703,355463,72801,37.514229,127.031656
2020,1,3,신논현,9호선,12403,365595,160423,194601,450454,157442,37.504598,127.02506
2020,1,3,봉은사,9호선2~3단계,3698,198447,66642,78353,199937,46389,37.514219,127.060245
2020,1,3,삼성중앙,9호선2~3단계,2080,92625,25289,30771,89551,20131,37.513011,127.053282
2020,1,3,선정릉,9호선2~3단계,3356,138753,39300,45034,127600,33149,37.510516,127.043838
2020,1,3,언주,9호선2~3단계,3627,138525,41823,51517,130215,29894,37.507287,127.033868
2020,1,3,강남구청,분당선,2097,136217,45743,53872,133414,31892,37.517324,127.041203
2020,1,3,개포동,분당선,1231,42605,15858,18938,40225,12986,37.489116,127.06614
2020,1,3,구룡,분당선,760,18942,6736,9105,14191,3538,37.486839,127.058856
2020,1,3,대모산입구,분당선,3127,49492,14350,19448,36709,8979,37.491373,127.07272
2020,1,3,도곡,분당선,2007,84039,28849,35250,75106,18215,37.491073,127.055319
2020,1,3,선릉,분당선,2974,289832,66892,78006,198775,42415,37.504571,127.048505
2020,1,3,선정릉,분당선,2003,132468,32690,38777,112920,25086,37.510516,127.043838
2020,1,3,수서,분당선,6046,165423,59703,72430,160495,45325,37.487425,127.1016645
2020,1,3,압구정로데오,분당선,2719,223057,89839,110030,264321,59995,37.527381,127.040534
2020,1,3,한티,분당선,2692,164552,70937,77403,170294,48244,37.496237,127.052873
2020,2,4,강남,2호선,21985,1093243,511099,622590,1311610,502468,37.4974135,127.028008
2020,2,4,삼성(무역센터),2호선,14080,754040,218909,282949,734365,155927,37.508844,127.06316
2020,2,4,선릉,2호선,10923,760520,267976,357963,751478,188808,37.504571,127.048505
2020,2,4,역삼,2호선,10701,816085,232319,294372,702388,158781,37.500622,127.036456
2020,2,4,대청,3호선,4307,129118,46137,58571,119532,38136,37.493514,127.079532
2020,2,4,대치,3호선,2649,132019,59315,70495,129765,56611,37.494612,127.063642
2020,2,4,도곡,3호선,2707,75784,26038,32797,63843,17289,37.491073,127.055319
2020,2,4,매봉,3호선,2134,172131,48267,59808,156794,37619,37.486947,127.046769
2020,2,4,수서,3호선,6337,224947,93779,109678,219900,62929,37.487425,127.1016645
2020,2,4,신사,3호선,4754,383362,174450,221795,472609,148464,37.516334,127.020114
2020,2,4,압구정,3호선,6630,442524,189079,224489,452534,102005,37.527072,127.028461
2020,2,4,일원,3호선,3198,134145,58789,63583,94714,25251,37.483681,127.08439
2020,2,4,학여울,3호선,606,25586,8587,11437,21945,6528,37.496663,127.070594
2020,2,4,강남구청,7호선,3791,272456,77739,92886,229651,67688,37.517324,127.041203
2020,2,4,논현,7호선,4928,332031,95985,118535,309500,96714,37.511093,127.021415
2020,2,4,청담,7호선,8592,364704,83942,110072,279300,65299,37.519365,127.05335
2020,2,4,학동,7호선,4220,424825,87554,113239,349913,72732,37.514229,127.031656
2020,2,4,신논현,9호선,7310,372008,179964,214950,484218,173242,37.504598,127.02506
2020,2,4,봉은사,9호선2~3단계,2237,208522,73730,85107,212382,47088,37.514219,127.060245
2020,2,4,삼성중앙,9호선2~3단계,1027,95100,27686,34248,93405,21775,37.513011,127.053282
2020,2,4,선정릉,9호선2~3단계,1937,141809,43895,49125,132865,34895,37.510516,127.043838
2020,2,4,언주,9호선2~3단계,2079,137735,45003,55757,131385,30446,37.507287,127.033868
2020,2,4,강남구청,분당선,2117,136142,51346,59843,138538,33382,37.517324,127.041203
2020,2,4,개포동,분당선,1163,45378,18248,21663,42213,14553,37.489116,127.06614
2020,2,4,구룡,분당선,649,20718,7904,10253,15203,4103,37.486839,127.058856
2020,2,4,대모산입구,분당선,3059,51564,16517,21578,38481,10177,37.491373,127.07272
2020,2,4,도곡,분당선,2178,84505,32309,39335,78071,20710,37.491073,127.055319
2020,2,4,선릉,분당선,3261,292214,73723,84649,204543,46138,37.504571,127.048505
2020,2,4,선정릉,분당선,2094,131136,36016,41560,114503,25713,37.510516,127.043838
2020,2,4,수서,분당선,6686,183629,74779,87447,183320,53674,37.487425,127.1016645
2020,2,4,압구정로데오,분당선,2730,229136,101573,122925,285681,66844,37.527381,127.040534
2020,2,4,한티,분당선,2781,171002,80568,88448,185604,61227,37.496237,127.052873
2020,2,5,강남,2호선,22455,1128341,579240,701687,1356883,518708,37.4974135,127.028008
2020,2,5,삼성(무역센터),2호선,13944,799552,270183,340842,802394,180743,37.508844,127.06316
2020,2,5,선릉,2호선,10885,783731,304127,391362,778059,205290,37.504571,127.048505
2020,2,5,역삼,2호선,10351,840529,263434,325010,731011,171623,37.500622,127.036456
2020,2,5,대청,3호선,4601,138990,55511,70824,129549,42716,37.493514,127.079532
2020,2,5,대치,3호선,3046,144434,71701,88150,152179,68620,37.494612,127.063642
2020,2,5,도곡,3호선,2991,83753,33722,40204,72709,20656,37.491073,127.055319
2020,2,5,매봉,3호선,2408,180064,59568,71418,167585,42069,37.486947,127.046769
2020,2,5,수서,3호선,7095,254263,119532,140914,251666,76551,37.487425,127.1016645
2020,2,5,신사,3호선,5236,393691,207134,265832,518345,166883,37.516334,127.020114
2020,2,5,압구정,3호선,7007,464916,225765,267551,488058,120098,37.527072,127.028461
2020,2,5,일원,3호선,3278,144143,66443,73323,102245,29522,37.483681,127.08439
2020,2,5,학여울,3호선,674,27933,11048,13452,25367,7484,37.496663,127.070594
2020,2,5,강남구청,7호선,3713,279963,90284,106446,240531,75232,37.517324,127.041203
2020,2,5,논현,7호선,5358,338473,108827,131986,318499,104180,37.511093,127.021415
2020,2,5,청담,7호선,8769,378816,100304,128663,296472,74781,37.519365,127.05335
2020,2,5,학동,7호선,4329,425873,106474,130981,355914,78912,37.514229,127.031656
2020,2,5,신논현,9호선,7543,391639,206304,245361,507108,183994,37.504598,127.02506
2020,2,5,봉은사,9호선2~3단계,2600,227727,92930,108282,237479,57379,37.514219,127.060245
2020,2,5,삼성중앙,9호선2~3단계,1070,99447,32725,39664,98934,24243,37.513011,127.053282
2020,2,5,선정릉,9호선2~3단계,2007,146803,52340,58412,138982,39405,37.510516,127.043838
2020,2,5,언주,9호선2~3단계,2228,140497,53679,63434,137825,33077,37.507287,127.033868
2020,2,5,강남구청,분당선,2374,143240,61549,71340,149243,37188,37.517324,127.041203
2020,2,5,개포동,분당선,1325,51023,23255,26345,47242,17293,37.489116,127.06614
2020,2,5,구룡,분당선,721,23570,9226,12309,17074,5528,37.486839,127.058856
2020,2,5,대모산입구,분당선,3210,57270,21555,25639,42960,11839,37.491373,127.07272
2020,2,5,도곡,분당선,2623,94192,41459,49701,89033,25838,37.491073,127.055319
2020,2,5,선릉,분당선,3389,299223,86013,95479,214687,51233,37.504571,127.048505
2020,2,5,선정릉,분당선,2218,132856,42989,49221,118577,28370,37.510516,127.043838
2020,2,5,수서,분당선,7274,207750,96079,111086,208994,64914,37.487425,127.1016645
2020,2,5,압구정로데오,분당선,3196,238621,118253,143139,313091,76897,37.527381,127.040534
2020,2,5,한티,분당선,3179,185971,99556,109224,211017,72213,37.496237,127.052873
2020,2,6,강남,2호선,22793,1235269,579166,689745,1449569,535091,37.4974135,127.028008
2020,2,6,삼성(무역센터),2호선,14365,931726,295669,368708,907550,199736,37.508844,127.06316
2020,2,6,선릉,2호선,11835,879962,310826,403253,865258,220188,37.504571,127.048505
2020,2,6,역삼,2호선,12094,953219,271316,334988,820807,183553,37.500622,127.036456
2020,2,6,대청,3호선,4873,163367,59880,78652,138657,44516,37.493514,127.079532
2020,2,6,대치,3호선,3316,158334,71306,91421,159218,68448,37.494612,127.063642
2020,2,6,도곡,3호선,3329,96349,36027,42599,79730,21230,37.491073,127.055319
2020,2,6,매봉,3호선,2613,206617,61328,74740,189636,45576,37.486947,127.046769
2020,2,6,수서,3호선,7818,285463,118422,140906,262140,77508,37.487425,127.1016645
2020,2,6,신사,3호선,5356,433450,202059,256592,553072,172988,37.516334,127.020114
2020,2,6,압구정,3호선,7315,509661,226246,265973,532257,129733,37.527072,127.028461
2020,2,6,일원,3호선,3506,168309,72195,80535,112361,30663,37.483681,127.08439
2020,2,6,학여울,3호선,710,36818,20325,23630,31829,8097,37.496663,127.070594
2020,2,6,강남구청,7호선,3830,312623,89332,107193,262008,79120,37.517324,127.041203
2020,2,6,논현,7호선,5298,374065,106405,129935,345659,110729,37.511093,127.021415
2020,2,6,청담,7호선,8963,425412,101517,130377,325394,78685,37.519365,127.05335
2020,2,6,학동,7호선,4957,481836,107312,134446,400849,84579,37.514229,127.031656
2020,2,6,신논현,9호선,7481,430828,207931,243833,546825,193495,37.504598,127.02506
2020,2,6,봉은사,9호선2~3단계,2862,262352,101926,117162,268848,63043,37.514219,127.060245
2020,2,6,삼성중앙,9호선2~3단계,1185,115405,34467,41495,112320,25749,37.513011,127.053282
2020,2,6,선정릉,9호선2~3단계,2003,166987,52213,59644,154473,42032,37.510516,127.043838
2020,2,6,언주,9호선2~3단계,2248,160826,55786,67228,155244,35199,37.507287,127.033868
2020,2,6,강남구청,분당선,2698,163216,63752,73417,168171,38928,37.517324,127.041203
2020,2,6,개포동,분당선,1329,57192,23726,27874,51418,18540,37.489116,127.06614
2020,2,6,구룡,분당선,718,31218,11445,14945,19737,6354,37.486839,127.058856
2020,2,6,대모산입구,분당선,3236,63119,20777,25939,46034,12258,37.491373,127.07272
2020,2,6,도곡,분당선,2606,108086,44300,52660,99251,26682,37.491073,127.055319
2020,2,6,선릉,분당선,3375,341331,88816,99483,241484,54200,37.504571,127.048505
2020,2,6,선정릉,분당선,2347,150577,42654,51027,131957,30235,37.510516,127.043838
2020,2,6,수서,분당선,7279,232638,96175,112241,220547,65211,37.487425,127.1016645
2020,2,6,압구정로데오,분당선,3652,262776,117011,142627,335327,80554,37.527381,127.040534
2020,2,6,한티,분당선,3227,207721,101190,112525,221267,70874,37.496237,127.052873
2020,3,7,강남,2호선,25033,1354648,676813,801644,1653691,645594,37.4974135,127.028008
2020,3,7,삼성(무역센터),2호선,15078,986452,326608,409262,981015,224905,37.508844,127.06316
2020,3,7,선릉,2호선,13071,925394,332309,430858,918971,240221,37.504571,127.048505
2020,3,7,역삼,2호선,12294,1016847,296619,365771,893258,209891,37.500622,127.036456
2020,3,7,대청,3호선,5179,172376,64518,84347,147574,48713,37.493514,127.079532
2020,3,7,대치,3호선,3503,169788,80700,101067,171115,77783,37.494612,127.063642
2020,3,7,도곡,3호선,3582,99906,38761,45615,84125,23487,37.491073,127.055319
2020,3,7,매봉,3호선,2977,217948,67360,81565,201721,49369,37.486947,127.046769
2020,3,7,수서,3호선,7820,301035,129284,151898,282750,84102,37.487425,127.1016645
2020,3,7,신사,3호선,5506,456986,223352,284309,600567,193080,37.516334,127.020114
2020,3,7,압구정,3호선,7533,540356,254469,298604,580307,144328,37.527072,127.028461
2020,3,7,일원,3호선,3594,178569,81082,89276,122613,34239,37.483681,127.08439
2020,3,7,학여울,3호선,743,37048,17157,20993,32431,8789,37.496663,127.070594
2020,3,7,강남구청,7호선,4157,324600,94519,112781,273781,84042,37.517324,127.041203
2020,3,7,논현,7호선,5516,386886,114099,139443,364956,120803,37.511093,127.021415
2020,3,7,청담,7호선,9653,438154,107914,137964,337404,83574,37.519365,127.05335
2020,3,7,학동,7호선,5468,505766,112843,142602,421124,88947,37.514229,127.031656
2020,3,7,신논현,9호선,8299,462088,233223,276082,610119,225379,37.504598,127.02506
2020,3,7,봉은사,9호선2~3단계,2953,282924,114157,133927,295116,70414,37.514219,127.060245
2020,3,7,삼성중앙,9호선2~3단계,1328,125249,36731,46055,123732,27666,37.513011,127.053282
2020,3,7,선정릉,9호선2~3단계,2102,174858,56443,64558,162527,44970,37.510516,127.043838
2020,3,7,언주,9호선2~3단계,2461,173544,60818,72749,167823,38153,37.507287,127.033868
2020,3,7,강남구청,분당선,2762,172593,67265,79444,177799,42586,37.517324,127.041203
2020,3,7,개포동,분당선,1632,63634,27469,31948,58127,21983,37.489116,127.06614
2020,3,7,구룡,분당선,756,33238,11961,15873,21953,6654,37.486839,127.058856
2020,3,7,대모산입구,분당선,3639,67354,22549,28395,48752,13132,37.491373,127.07272
2020,3,7,도곡,분당선,2637,114029,48012,58303,105673,29556,37.491073,127.055319
