연도,분기,버스정류장ARS번호,00~06_승하차_승객수,06~11_승하차_승객수,11~14_승하차_승객수,14~17_승하차_승객수,17~21_승하차_승객수,21~24_승하차_승객수,X좌표,Y좌표,버스정류장_위경도_값
2020,2분기,23113,4400,34044,14796,19596,59435,17170,127.0285622,37.5184082,"37.5184082, 127.0285622"
2020,3분기,23113,4937,35193,14654,19331,61890,17434,127.0285622,37.5184082,"37.5184082, 127.0285622"
2020,4분기,23113,4429,32114,13996,18256,57052,16583,127.0285622,37.5184082,"37.5184082, 127.0285622"
2020,1분기,23114,5182,103530,22362,23976,58313,18901,127.0302458,37.51480707,"37.51480707, 127.0302458"
2020,2분기,23114,4868,100860,21625,24188,56317,18578,127.0302458,37.51480707,"37.51480707, 127.0302458"
2020,3분기,23114,5003,102523,22272,23493,57235,18088,127.0302458,37.51480707,"37.51480707, 127.0302458"
2020,4분기,23114,4518,99059,21897,23313,55304,16928,127.0302458,37.51480707,"37.51480707, 127.0302458"
2020,1분기,23115,3397,26891,17393,21793,37979,13544,127.0297132,37.51371991,"37.51371991, 127.0297132"
2020,2분기,23115,3258,27121,16599,22284,34736,13360,127.0297132,37.51371991,"37.51371991, 127.0297132"
2020,3분기,23115,3255,26905,16708,21949,34924,13998,127.0297132,37.51371991,"37.51371991, 127.0297132"
2020,4분기,23115,2982,24265,15902,20317,29495,12221,127.0297132,37.51371991,"37.51371991, 127.0297132"
2020,1분기,23116,2470,14310,10280,12967,19921,7008,127.0234945,37.51179894,"37.51179894, 127.0234945"
2020,2분기,23116,2509,14229,10760,13537,19264,7076,127.0234945,37.51179894,"37.51179894, 127.0234945"
2020,3분기,23116,2431,14604,10195,12855,19711,7507,127.0234945,37.51179894,"37.51179894, 127.0234945"
2020,4분기,23116,2221,13534,9894,11913,16503,6334,127.0234945,37.51179894,"37.51179894, 127.0234945"
2020,1분기,23117,4226,35793,16934,19292,28528,13617,127.0224406,37.51134044,"37.51134044, 127.0224406"
2020,2분기,23117,4407,34022,16844,18961,28290,13674,127.0224406,37.51134044,"37.51134044, 127.0224406"
2020,3분기,23117,4500,35815,15963,18830,28309,13408,127.0224406,37.51134044,"37.51134044, 127.0224406"
2020,4분기,23117,4283,32347,15057,17291,25289,11156,127.0224406,37.51134044,"37.51134044, 127.0224406"
2020,1분기,23118,4588,65504,21796,23203,34300,14639,127.0300881,37.51369865,"37.51369865, 127.0300881"
