STDR_YY_CD,STDR_QU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,TOT_WRC_POPLTN_CO,ML_WRC_POPLTN_CO,FML_WRC_POPLTN_CO,AGRDE_10_WRC_POPLTN_CO,AGRDE_20_WRC_POPLTN_CO,AGRDE_30_WRC_POPLTN_CO,AGRDE_40_WRC_POPLTN_CO,AGRDE_50_WRC_POPLTN_CO,AGRDE_60_ABOVE_WRC_POPLTN_CO,MAG_10_WRC_POPLTN_CO,MAG_20_WRC_POPLTN_CO,MAG_30_WRC_POPLTN_CO,MAG_40_WRC_POPLTN_CO,MAG_50_WRC_POPLTN_CO,MAG_60_ABOVE_WRC_POPLTN_CO,FAG_10_WRC_POPLTN_CO,FAG_20_WRC_POPLTN_CO,FAG_30_WRC_POPLTN_CO,FAG_40_WRC_POPLTN_CO,FAG_50_WRC_POPLTN_CO,FAG_60_ABOVE_WRC_POPLTN_CO
2020,1,A,골목상권,2110025,충신시장옆,213.0,129.0,84.0,2.0,17.0,46.0,63.0,56.0,29.0,0.0,6.0,23.0,43.0,33.0,24.0,2.0,11.0,23.0,20.0,23.0,5.0
2020,1,A,골목상권,2110026,종로5가역 4번,190.0,120.0,70.0,0.0,22.0,41.0,73.0,27.0,27.0,0.0,9.0,28.0,47.0,14.0,22.0,0.0,13.0,13.0,26.0,13.0,5.0
2020,1,A,골목상권,2110027,혜화역 1번,617.0,366.0,251.0,1.0,73.0,116.0,131.0,98.0,198.0,0.0,28.0,74.0,65.0,54.0,145.0,1.0,45.0,42.0,66.0,44.0,53.0
2020,1,A,골목상권,2110028,이화달팽이길,704.0,279.0,425.0,1.0,177.0,179.0,137.0,123.0,87.0,0.0,56.0,60.0,56.0,65.0,42.0,1.0,121.0,119.0,81.0,58.0,45.0
2020,1,A,골목상권,2110029,동대문역 1번,235.0,61.0,174.0,0.0,11.0,31.0,57.0,79.0,57.0,0.0,1.0,7.0,19.0,20.0,14.0,0.0,10.0,24.0,38.0,59.0,43.0
2020,1,A,골목상권,2110030,동대문역 3번,10.0,5.0,5.0,0.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0
2020,1,A,골목상권,2110031,창신역 1번,44.0,31.0,13.0,0.0,7.0,14.0,5.0,11.0,7.0,0.0,4.0,8.0,4.0,8.0,7.0,0.0,3.0,6.0,1.0,3.0,0.0
2020,1,A,골목상권,2110032,수족관거리,31.0,16.0,15.0,0.0,3.0,6.0,4.0,13.0,5.0,0.0,2.0,2.0,2.0,7.0,3.0,0.0,1.0,4.0,2.0,6.0,2.0
2020,1,A,골목상권,2110033,창신역 4번,166.0,89.0,77.0,0.0,26.0,42.0,35.0,40.0,23.0,0.0,6.0,22.0,17.0,25.0,19.0,0.0,20.0,20.0,18.0,15.0,4.0
2020,1,A,골목상권,2110034,창신1동주민센터,41.0,35.0,6.0,0.0,2.0,1.0,14.0,13.0,11.0,0.0,2.0,1.0,10.0,11.0,11.0,0.0,0.0,0.0,4.0,2.0,0.0
2020,1,A,골목상권,2110035,동묘앞역 2번,276.0,161.0,115.0,2.0,18.0,43.0,75.0,88.0,50.0,0.0,5.0,18.0,42.0,65.0,31.0,2.0,13.0,25.0,33.0,23.0,19.0
2020,1,A,골목상권,2110036,동묘앞역 3번,65.0,42.0,23.0,0.0,3.0,7.0,20.0,15.0,20.0,0.0,1.0,3.0,10.0,13.0,15.0,0.0,2.0,4.0,10.0,2.0,5.0
2020,1,A,골목상권,2110037,신설동역 12번,208.0,124.0,84.0,0.0,16.0,46.0,51.0,61.0,34.0,0.0,6.0,20.0,32.0,41.0,25.0,0.0,10.0,26.0,19.0,20.0,9.0
2020,1,A,골목상권,2110038,경향신문사,2636.0,1651.0,985.0,0.0,377.0,783.0,808.0,593.0,75.0,0.0,119.0,436.0,540.0,491.0,65.0,0.0,258.0,347.0,268.0,102.0,10.0
2020,1,A,골목상권,2110039,회현역 1번,49.0,26.0,23.0,0.0,2.0,8.0,12.0,14.0,13.0,0.0,0.0,4.0,9.0,8.0,5.0,0.0,2.0,4.0,3.0,6.0,8.0
2020,1,A,골목상권,2110040,중구회현체육센터(정화예술대남산캠퍼스),165.0,78.0,87.0,0.0,33.0,30.0,40.0,37.0,25.0,0.0,14.0,15.0,17.0,13.0,19.0,0.0,19.0,15.0,23.0,24.0,6.0
2020,1,A,골목상권,2110041,남산케이블카,967.0,435.0,532.0,2.0,118.0,152.0,175.0,254.0,266.0,2.0,51.0,69.0,83.0,87.0,143.0,0.0,67.0,83.0,92.0,167.0,123.0
2020,1,A,골목상권,2110042,남산골공원옆,994.0,621.0,373.0,3.0,121.0,221.0,287.0,251.0,111.0,0.0,43.0,127.0,198.0,179.0,74.0,3.0,78.0,94.0,89.0,72.0,37.0
