STDR_YY_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,VIATR_FCLTY_CO,PBLOFC_CO,BANK_CO,GEHSPT_CO,GNRL_HSPTL_CO,PARMACY_CO,KNDRGR_CO,ELESCH_CO,MSKUL_CO,HGSCHL_CO,UNIV_CO,DRTS_CO,SUPMK_CO,THEAT_CO,STAYNG_FCLTY_CO,ARPRT_CO,RLROAD_STATN_CO,BUS_TRMINL_CO,SUBWAY_STATN_CO,BUS_STTN_CO,STDR_QU_CD
2020,A,골목상권,2110008,배화여자대학교(박노수미술관),168.0,7.0,3.0,0.0,0.0,7.0,3.0,1.0,1.0,1.0,7.0,0.0,0.0,10.0,40.0,0.0,0.0,0.0,0.0,26.0,1
2020,A,골목상권,2110008,배화여자대학교(박노수미술관),168.0,7.0,3.0,0.0,0.0,7.0,3.0,1.0,1.0,1.0,7.0,0.0,0.0,10.0,40.0,0.0,0.0,0.0,0.0,26.0,2
2020,A,골목상권,2110008,배화여자대학교(박노수미술관),168.0,7.0,3.0,0.0,0.0,7.0,3.0,1.0,1.0,1.0,7.0,0.0,0.0,10.0,40.0,0.0,0.0,0.0,0.0,26.0,3
2020,A,골목상권,2110008,배화여자대학교(박노수미술관),94.0,6.0,3.0,0.0,0.0,6.0,1.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,4
2020,A,골목상권,2110009,자하문터널,30.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,1
2020,A,골목상권,2110009,자하문터널,30.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,2
2020,A,골목상권,2110009,자하문터널,30.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,3
2020,A,골목상권,2110009,자하문터널,28.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4
2020,A,골목상권,2110010,평창동서측,83.0,4.0,5.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,31.0,1
2020,A,골목상권,2110010,평창동서측,83.0,4.0,5.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,31.0,2
2020,A,골목상권,2110010,평창동서측,83.0,4.0,5.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,31.0,3
2020,A,골목상권,2110010,평창동서측,79.0,2.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,4
2020,A,골목상권,2110011,청운초등학교,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1
2020,A,골목상권,2110011,청운초등학교,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2
2020,A,골목상권,2110011,청운초등학교,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3
2020,A,골목상권,2110011,청운초등학교,27.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4
2020,A,골목상권,2110012,성곡미술관,201.0,12.0,14.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,7.0,19.0,0.0,0.0,0.0,1.0,26.0,1
2020,A,골목상권,2110012,성곡미술관,201.0,12.0,14.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,7.0,19.0,0.0,0.0,0.0,1.0,26.0,2
2020,A,골목상권,2110012,성곡미술관,201.0,12.0,14.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,7.0,19.0,0.0,0.0,0.0,1.0,26.0,3
2020,A,골목상권,2110012,성곡미술관,148.0,13.0,18.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,4
2020,A,골목상권,2110013,체부동홍종문가옥,140.0,6.0,2.0,0.0,0.0,7.0,2.0,1.0,1.0,1.0,7.0,0.0,0.0,8.0,37.0,0.0,0.0,0.0,0.0,21.0,1
2020,A,골목상권,2110013,체부동홍종문가옥,140.0,6.0,2.0,0.0,0.0,7.0,2.0,1.0,1.0,1.0,7.0,0.0,0.0,8.0,37.0,0.0,0.0,0.0,0.0,21.0,2
2020,A,골목상권,2110013,체부동홍종문가옥,140.0,6.0,2.0,0.0,0.0,7.0,2.0,1.0,1.0,1.0,7.0,0.0,0.0,8.0,37.0,0.0,0.0,0.0,0.0,21.0,3
2020,A,골목상권,2110013,체부동홍종문가옥,81.0,6.0,2.0,0.0,0.0,7.0,1.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4
2020,A,골목상권,2110014,경복고등학교,68.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,18.0,1
2020,A,골목상권,2110014,경복고등학교,68.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,18.0,2
2020,A,골목상권,2110014,경복고등학교,68.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,18.0,3
2020,A,골목상권,2110014,경복고등학교,46.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4
2020,A,골목상권,2110015,청와대사랑채,103.0,6.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,0.0,0.0,0.0,0.0,18.0,1
2020,A,골목상권,2110015,청와대사랑채,103.0,6.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,0.0,0.0,0.0,0.0,18.0,2
2020,A,골목상권,2110015,청와대사랑채,103.0,6.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,0.0,0.0,0.0,0.0,18.0,3
2020,A,골목상권,2110015,청와대사랑채,48.0,6.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4
2020,A,골목상권,2110016,평창동동측,71.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,27.0,1
2020,A,골목상권,2110016,평창동동측,71.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,27.0,2
2020,A,골목상권,2110016,평창동동측,71.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,27.0,3
2020,A,골목상권,2110016,평창동동측,73.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,4
2020,A,골목상권,2110017,정독도서관,225.0,9.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,43.0,60.0,0.0,0.0,0.0,0.0,54.0,1
