매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대,분기,총 상주인구 수,총 가구 수,총_직장인구_수,시간대_생활인구_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,지하철역_수,평일_생활인구_평균,주말_생활인구_평균,상권내_총_아파트_세대_수,배후지_총_아파트_세대_수,면적당_버스정류장_수,면적당_점포_수,면적당_집객시설_수,직장인구/상주인구,점포수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,버스정류장_수
94401.8022,2020,골목상권,2110960,은광여고,1,2,719,417,1522,29259,0,0,0,1,25543,0,0,0,16437.8,14330.5,239.0,2863.362283,0.0,1.174490076,1.565986767,2.116828929,,,,,,,,,,,,,,,,,,,,,,,,,
124104.8114,2020,골목상권,2110961,언주역 3번,1,2,2169,1298,962,139886,1,0,0,1,63031,0,0,0,119568.4,88421.5,612.0,2863.719785,0.0,0.951912551,0.475956275,0.443522361,,,,,,,,,,,,,,,,,,,,,,,,,
49563.4359,2020,골목상권,2110963,역삼월드메르디앙아파트,1,2,1724,847,780,127310,0,0,0,1,40391,0,0,0,62226.4,55935.0,543.0,2863.609714,0.0,0.742739719,0.247579906,0.452436195,,,,,,,,,,,,,,,,,,,,,,,,,
128602.7967,2020,골목상권,2110965,언주역 6번,1,2,2309,1512,1139,169546,0,0,0,2,65107,0,0,0,127942.4,98625.5,694.0,2863.375899,0.0,0.921559894,0.307186631,0.493287137,,,,,,,,,,,,,,,,,,,,,,,,,
94191.66758,2020,골목상권,2110966,논현2동주민센터,1,2,2887,1539,1637,293277,0,0,0,2,93544,0,0,0,268883.2,189737.0,843.0,2863.343569,0.0,0.42760626,0.962114085,0.567024593,,,,,,,,,,,,,,,,,,,,,,,,,
240980.7521,2020,골목상권,2110967,역삼역 8번,1,2,1307,877,377,130901,0,0,0,3,68671,0,0,0,99930.2,71507.5,379.0,2863.491983,0.0,1.310596904,1.019353148,0.288446825,,,,,,,,,,,,,,,,,,,,,,,,,
371924.0525,2020,골목상권,2110971,선정릉역 4번,1,2,3836,2425,1542,208909,1,1,0,4,133221,0,0,0,129777.4,105131.5,1637.0,2863.675862,0.0,0.675569167,0.525442685,0.40198123,,,,,,,,,,,,,,,,,,,,,,,,,
16845.64103,2020,골목상권,2110972,강남세브란스병원미래의학연구센터,1,2,1995,1013,2628,68570,0,0,0,0,46603,0,0,0,33722.4,30993.0,630.0,2863.014336,0.0,0.643735382,0.429156921,1.317293233,,,,,,,,,,,,,,,,,,,,,,,,,
111817.1337,2020,골목상권,2110974,언주중학교,1,2,1479,770,292,184523,0,0,0,0,35150,0,0,0,105949.0,95156.5,535.0,2862.751951,0.0,1.706970128,0.568990043,0.197430696,,,,,,,,,,,,,,,,,,,,,,,,,
119627.3718,2020,골목상권,2110975,매봉역 1번,1,2,944,361,10837,56061,0,0,0,0,52363,9023,7155,1,40955.8,39348.0,250.0,2862.489873,0.572923629,1.145847259,2.100719974,11.47987288,,,,,,,,,,,,,,,,,,,,,,,,,
47249.66484,2020,골목상권,2110976,언북초등학교,1,2,2011,1046,578,180128,0,0,0,0,55724,0,0,0,118187.8,105511.0,476.0,2862.846179,0.0,1.076735338,0.358911779,0.287419194,,,,,,,,,,,,,,,,,,,,,,,,,
53973.4359,2020,골목상권,2110977,논현로18길,1,2,707,335,148,33211,0,0,0,0,17287,0,0,0,20432.0,17445.0,108.0,2862.852779,0.0,5.20622433,0.0,0.209335219,,,,,,,,,,,,,,,,,,,,,,,,,
57026.40659,2020,골목상권,2110980,개포지구대옆,1,2,2707,1114,663,140237,0,0,0,0,85827,0,0,0,77960.2,67762.5,679.0,2863.249219,0.0,0.349540354,0.233026903,0.244920576,,,,,,,,,,,,,,,,,,,,,,,,,
125653.4799,2020,골목상권,2110981,국악고교사거리,1,2,2105,876,361,143475,0,0,0,0,67409,569,0,0,76077.0,72953.5,543.0,2863.494637,0.593392574,1.335133291,1.038437004,0.171496437,,,,,,,,,,,,,,,,,,,,,,,,,
163445.8242,2020,골목상권,2110983,국립국악고등학교,1,2,2836,1257,783,125206,1,0,0,0,56041,0,0,0,61956.4,58735.5,602.0,2863.411128,0.0,0.535322353,0.713763138,0.276093089,,,,,,,,,,,,,,,,,,,,,,,,,
62985.95513,2020,골목상권,2110984,포이초등학교(개포목련어린이공원),1,2,4522,1948,1556,322638,0,0,0,1,137097,204,0,0,135608.4,131667.5,1079.0,2863.664111,0.072941056,0.875292676,1.021174789,0.344095533,,,,,,,,,,,,,,,,,,,,,,,,,
178933.9414,2020,골목상권,2110985,청담근린공원,1,2,980,472,1338,73633,0,0,0,0,43265,0,0,0,47333.2,41525.0,239.0,2863.726028,0.0,0.693401133,0.231133711,1.365306122,,,,,,,,,,,,,,,,,,,,,,,,,
68559.49084,2020,골목상권,2110988,청담역 3번,1,2,1340,480,1594,35463,0,0,0,0,79185,0,26324,1,27747.0,26977.0,345.0,2864.023707,0.0,0.378859633,0.631432721,1.189552239,,,,,,,,,,,,,,,,,,,,,,,,,
97075.72039,2020,골목상권,2110989,대치동아우편취급국,1,2,1575,908,444,127669,2,0,0,3,40587,0,0,0,88693.0,71351.0,671.0,2864.40689,0.0,2.217458792,1.724690172,0.281904762,,,,,,,,,,,,,,,,,,,,,,,,,
90904.48779,2020,골목상권,2110992,도곡초등학교,1,2,8040,3724,2179,484082,2,0,0,1,138866,0,0,0,251094.8,279559.0,1927.0,2863.776906,0.0,1.296213616,0.57609494,0.2710199,,,,,,,,,,,,,,,,,,,,,,,,,
37018.18681,2020,골목상권,2110994,개포고등학교,1,2,1706,744,494,194130,1,0,0,4,61589,0,0,0,88556.2,86335.0,321.0,2862.308675,0.0,0.974199938,2.760233159,0.289566237,,,,,,,,,,,,,,,,,,,,,,,,,
43051.22344,2020,골목상권,2110995,봉은사역 4번,1,2,2888,1115,5085,156621,0,0,0,0,122756,1,0,0,85648.2,86189.5,893.0,2862.544122,0.081462413,0.24438724,0.570236893,1.760734072,,,,,,,,,,,,,,,,,,,,,,,,,
49571.69963,2020,골목상권,2110996,대치2동주민센터,1,2,1545,729,1959,161196,1,0,0,0,112840,0,0,0,106971.2,102566.0,727.0,2862.193245,0.088621056,0.265863169,0.354484225,1.267961165,,,,,,,,,,,,,,,,,,,,,,,,,
198618.1424,2020,골목상권,2110997,대청초등학교,1,2,7401,3439,1724,888592,0,2,0,6,236963,8370,0,0,387679.2,372152.5,739.0,2861.356174,0.548608855,0.970615666,2.152234737,0.232941494,,,,,,,,,,,,,,,,,,,,,,,,,
222434.5733,2020,골목상권,2110999,윗방죽마을공원,1,2,3125,2339,268,22007,0,1,0,0,239796,2608,0,0,12023.4,13420.0,17.0,2861.135581,0.166808454,0.250212681,0.166808454,0.08576,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2020,골목상권,2111000,대왕초등학교(세곡동사거리서남측),1,2,458,199,39,3589,0,0,0,0,52892,637,0,0,9000.4,8607.0,0.0,2861.375121,0.189064509,0.567193526,0.945322544,0.085152838,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2020,골목상권,2111002,한국교통안전공단 강남자동차검사소,1,2,317,0,317,0,0,0,0,0,59240,505,0,0,30.0,102.0,0.0,2862.191604,0.168804862,0.506414585,0.506414585,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
176096.4475,2020,골목상권,2110949,한남IC,1,3,618,300,1683,68563,0,0,0,0,62126,0,0,0,53751.8,45365.0,112.0,2862.191604,0.0,0.965779223,0.321926408,2.723300971,,,,,,,,,,,,,,,,,,,,,,,,,
126471.4457,2020,골목상권,2110951,신사은행나무공원,1,3,1039,580,273,132250,0,0,0,1,29000,0,0,0,88243.0,72550.0,161.0,2862.389435,0.0,1.034482759,0.689655172,0.262752647,,,,,,,,,,,,,,,,,,,,,,,,,
149246.779,2020,골목상권,2110952,논현목련공원,1,3,879,583,117,63079,0,0,0,0,21629,0,0,0,31289.2,31007.0,257.0,2863.109414,0.0,1.387026677,0.924684451,0.133105802,,,,,,,,,,,,,,,,,,,,,,,,,
31144.86594,2020,골목상권,2110954,국기원,1,3,497,335,636,49829,0,0,0,2,39798,0,0,0,68773.2,63416.0,34.0,2863.359252,0.0,0.753806724,0.753806724,1.279678068,,,,,,,,,,,,,,,,,,,,,,,,,
266085.7444,2020,골목상권,2110955,논현초등학교,1,3,7080,4369,3430,718388,0,0,0,2,190912,0,0,0,412457.8,380383.0,1958.0,2864.238669,0.0,1.519024472,0.523801542,0.484463277,,,,,,,,,,,,,,,,,,,,,,,,,
206127.1594,2020,골목상권,2110957,언북중학교,1,3,1816,1116,1251,174285,0,0,0,3,94815,0,0,0,149910.0,98264.5,532.0,2863.342015,0.0,0.632811264,0.843748352,0.688876652,,,,,,,,,,,,,,,,,,,,,,,,,
150332.5688,2020,골목상권,2110958,역삼역 4번,1,3,858,528,994,66041,0,0,0,2,73119,0,0,0,68305.8,41353.5,290.0,2863.994947,0.0,0.410290075,1.230870225,1.158508159,,,,,,,,,,,,,,,,,,,,,,,,,
34016.88768,2020,골목상권,2110959,신구중학교,1,3,365,166,271,18745,0,0,0,0,35959,0,0,0,18927.0,14121.5,82.0,2864.525753,0.0,0.83428349,2.224755972,0.742465753,,,,,,,,,,,,,,,,,,,,,,,,,
108198.6558,2020,골목상권,2110960,은광여고,1,3,719,417,1522,28094,0,0,0,1,25543,0,0,0,15853.8,13967.5,239.0,2865.393582,0.0,1.174490076,1.565986767,2.116828929,,,,,,,,,,,,,,,,,,,,,,,,,
117854.308,2020,골목상권,2110961,언주역 3번,1,3,2169,1298,962,155417,1,0,0,1,63031,0,0,0,128248.2,97907.0,612.0,2865.751781,0.0,0.951912551,0.475956275,0.443522361,,,,,,,,,,,,,,,,,,,,,,,,,
72230.90217,2020,골목상권,2110963,역삼월드메르디앙아파트,1,3,1724,847,780,125411,0,0,0,1,40391,0,0,0,62460.8,56080.0,543.0,2865.642601,0.0,0.742739719,0.247579906,0.452436195,,,,,,,,,,,,,,,,,,,,,,,,,
154421.9384,2020,골목상권,2110965,언주역 6번,1,3,2309,1512,1139,170160,0,0,0,2,65107,0,0,0,127219.6,99961.0,694.0,2865.40973,0.0,0.921559894,0.307186631,0.493287137,,,,,,,,,,,,,,,,,,,,,,,,,
87916.22554,2020,골목상권,2110966,논현2동주민센터,1,3,2887,1539,1637,284661,0,0,0,2,93544,0,0,0,267166.2,188422.0,843.0,2865.37826,0.0,0.42760626,0.962114085,0.567024593,,,,,,,,,,,,,,,,,,,,,,,,,
266156.4263,2020,골목상권,2110967,역삼역 8번,1,3,1307,877,377,128353,0,0,0,3,68671,0,0,0,98576.0,72275.5,379.0,2865.52746,0.0,1.310596904,1.019353148,0.288446825,,,,,,,,,,,,,,,,,,,,,,,,,
441468.4524,2020,골목상권,2110971,선정릉역 4번,1,3,3836,2425,1542,222244,1,1,0,4,133221,0,0,0,134334.8,111264.0,1637.0,2865.712109,0.0,0.600505926,0.525442685,0.40198123,,,,,,,,,,,,,,,,,,,,,,,,,
